GeneID,Symbol,Score,P-value
4922,NTS,-1.491094078,0.000110431
55163,PNPO,-0.730579609,0.000111235
5295,PIK3R1,0.540787137,0.000111268
2824,GPM6B,0.525654141,0.000111961
664,BNIP3,-0.629781709,0.000112135
345079,SOWAHB,-2.514040505,0.000112854
51144,HSD17B12,-0.571460912,0.000115901
55859,BEX1,-0.907731676,0.000119485
217,ALDH2,0.582127605,0.000121738
8538,BARX2,-1.383279142,0.00012188
259217,HSPA12A,0.542501994,0.000124469
1739,DLG1,-0.629760859,0.000125924
26137,ZBTB20,0.60615528,0.000128742
143903,LAYN,-1.166936271,0.000129614
143279,HECTD2,-0.725576372,0.000130167
57172,CAMK1G,-0.785136178,0.00013107
2820,GPD2,0.586467879,0.000133426
58190,CTDSP1,0.989292753,0.000134152
10724,OGA,0.531621871,0.000135509
140456,ASB11,-2.234384126,0.000136861
63976,PRDM16,1.178833828,0.000137668
60370,AVPI1,-0.945353037,0.000140539
1641,DCX,0.58695916,0.000141087
27145,FILIP1,1.058585688,0.000142423
10076,PTPRU,0.832880337,0.000146741
8528,DDO,0.916075051,0.000147198
9734,HDAC9,-0.674687952,0.000150469
375612,LHFPL3,-0.901255506,0.000152162
491,ATP2B2,0.557018244,0.000161686
5176,SERPINF1,-1.432011043,0.000163775
3761,KCNJ4,-0.546462344,0.000165161
55084,SOBP,0.596757545,0.000165386
8664,EIF3D,-0.573403641,0.000165624
7227,TRPS1,0.887957471,0.000167521
51514,DTL,-1.581505391,0.000171722
54544,CRCT1,-3.191023455,0.000171807
51706,CYB5R1,-1.068185407,0.000173113
9592,IER2,-1.361699307,0.000173181
7092,TLL1,-1.22443829,0.000179463
25822,DNAJB5,-0.535120197,0.000180141
6565,SLC15A2,1.015764668,0.000180338
5230,PGK1,-0.734669362,0.000181289
23544,SEZ6L,0.559210343,0.000182791
5865,RAB3B,-0.60759156,0.000185793
10092,ARPC5,-0.552585079,0.000187496
164091,PAQR7,0.829583641,0.000188115
6752,SSTR2,-1.168255552,0.000189064
796,CALCA,-1.222236455,0.000191153
80129,CCDC170,1.358344267,0.000193077
5625,PRODH,1.49406226,0.000194234
84668,HYCC1,0.654041633,0.000194679
84870,RSPO3,-0.966719593,0.00020495
2,A2M,0.559260705,0.000205105
5816,PVALB,-1.844388283,0.00020606
55707,NECAP2,0.852341454,0.000206243
7182,NR2C2,0.696847585,0.000214089
167410,LIX1,0.64323905,0.000214865
11283,CYP4F8,1.475156797,0.000215008
84707,BEX2,-0.728720435,0.000218878
857,CAV1,-1.038588269,0.000221193
23640,HSPBP1,-0.594814312,0.000223203
1647,GADD45A,-1.289094691,0.000223347
58494,JAM2,0.684246034,0.000223968
6657,SOX2,0.570786089,0.000227679
79589,RNF128,-0.739418298,0.000228111
50808,AK3,0.590519678,0.000228878
8204,NRIP1,0.628960523,0.000230287
482,ATP1B2,0.63655371,0.000232875
833,CARS1,-0.719029731,0.000235741
8565,YARS1,-0.558176768,0.000237732
79633,FAT4,0.766712335,0.000237946
339512,CCDC190,0.899253838,0.000245412
25758,KIAA1549L,0.561289451,0.00025387
2904,GRIN2B,0.578852038,0.000254159
6820,SULT2B1,-1.860622209,0.000256254
6567,SLC16A2,0.58030429,0.000257452
29997,NOP53,-0.61068178,0.000257807
3692,EIF6,-0.712042104,0.000257854
1263,PLK3,-1.048499365,0.000261918
64067,NPAS3,0.798561738,0.000263265
8988,HSPB3,-3.88937753,0.000279876
7163,TPD52,-0.654095814,0.0002852
91373,UAP1L1,-1.118881769,0.000285275
81572,PDRG1,-0.717909654,0.000290366
64849,SLC13A3,0.935528673,0.000293341
389941,C1QL3,-0.767129896,0.000294034
57162,PELI1,-0.619770267,0.000295035
79901,CYBRD1,0.847875043,0.000306978
92,ACVR2A,0.571380406,0.00031302
1725,DHPS,-0.702989294,0.000316505
5454,POU3F2,0.809232412,0.000317814
5798,PTPRN,-0.642352335,0.000320683
65983,GRAMD2B,0.95844437,0.0003287
24139,EML2,-0.553537087,0.000329656
130399,ACVR1C,-1.524728243,0.000332114
26873,OPLAH,0.813906752,0.000347813
23336,SYNM,0.659465662,0.00035136
114,ADCY8,-0.840319637,0.000354125
4803,NGF,-1.403171364,0.000358305
23112,TNRC6B,0.577095414,0.000363051
18,ABAT,0.461398148,0.000365039
139189,DGKK,-1.366721341,0.000370606
6515,SLC2A3,-0.693662901,0.000380698
10215,OLIG2,0.796304667,0.000380793
8871,SYNJ2,-0.804403,0.000383142
57633,LRRN1,0.661775916,0.000388763
492,ATP2B3,0.519507845,0.000392954
26136,TES,-1.402597438,0.000401061
23231,SEL1L3,-0.861962118,0.000409837
23266,ADGRL2,0.597802708,0.000409871
9283,GPR37L1,0.694210755,0.000411324
26052,DNM3,0.494564673,0.000412145
8659,ALDH4A1,0.549064159,0.000412656
57469,PNMA8B,0.521193437,0.000417903
10865,ARID5A,-0.939589341,0.000418952
9369,NRXN3,-0.510921064,0.000437838
2053,EPHX2,1.074826177,0.000440229
11177,BAZ1A,-1.381402441,0.00044445
51400,PPME1,-0.523318147,0.000450498
388610,TRNP1,-0.546395532,0.000451636
29767,TMOD2,0.454807388,0.000460545
9414,TJP2,0.691089112,0.000463509
