GeneID,Symbol,Score,P-value
1647,GADD45A,-0.219148971,0.000223347
58494,JAM2,0.067348459,0.000223968
6657,SOX2,0.209505457,0.000227679
79589,RNF128,-0.297841114,0.000228111
50808,AK3,0.07656139,0.000228878
8204,NRIP1,0.184384129,0.000230287
482,ATP1B2,0.04767535,0.000232875
833,CARS1,0.191256048,0.000235741
8565,YARS1,0.000660147,0.000237732
79633,FAT4,0.182540815,0.000237946
339512,CCDC190,0.451104342,0.000245412
25758,KIAA1549L,0.019845763,0.00025387
2904,GRIN2B,0.081442617,0.000254159
6820,SULT2B1,-0.308158889,0.000256254
6567,SLC16A2,0.164311374,0.000257452
29997,NOP53,0.285862609,0.000257807
3692,EIF6,0.038723952,0.000257854
1263,PLK3,0.177070735,0.000261918
64067,NPAS3,-0.05972166,0.000263265
8988,HSPB3,0.900297885,0.000279876
7163,TPD52,-0.204630267,0.0002852
91373,UAP1L1,-0.213402084,0.000285275
81572,PDRG1,-0.1624271,0.000290366
64849,SLC13A3,-0.050405667,0.000293341
389941,C1QL3,-0.132241144,0.000294034
57162,PELI1,0.014187615,0.000295035
79901,CYBRD1,-0.168939362,0.000306978
92,ACVR2A,0.086984412,0.00031302
1725,DHPS,0.005270683,0.000316505
5454,POU3F2,0.207110063,0.000317814
5798,PTPRN,-0.102593701,0.000320683
65983,GRAMD2B,-0.03565909,0.0003287
24139,EML2,0.143932542,0.000329656
130399,ACVR1C,-1.001719922,0.000332114
26873,OPLAH,0.453805594,0.000347813
23336,SYNM,0.052624105,0.00035136
114,ADCY8,0.178252091,0.000354125
4803,NGF,-0.436059474,0.000358305
23112,TNRC6B,-0.004061774,0.000363051
18,ABAT,-0.079613833,0.000365039
139189,DGKK,-0.968747663,0.000370606
6515,SLC2A3,-0.228612731,0.000380698
10215,OLIG2,0.029394561,0.000380793
8871,SYNJ2,0.307746046,0.000383142
57633,LRRN1,0.154108818,0.000388763
492,ATP2B3,0.02110645,0.000392954
26136,TES,-0.205884343,0.000401061
23231,SEL1L3,-0.306919453,0.000409837
23266,ADGRL2,0.102496315,0.000409871
9283,GPR37L1,0.148515605,0.000411324
26052,DNM3,0.089689693,0.000412145
8659,ALDH4A1,-0.131070268,0.000412656
57469,PNMA8B,0.100650374,0.000417903
10865,ARID5A,-0.31146156,0.000418952
9369,NRXN3,-0.185222316,0.000437838
2053,EPHX2,-0.029764449,0.000440229
11177,BAZ1A,-0.691537868,0.00044445
51400,PPME1,-0.008132176,0.000450498
388610,TRNP1,0.008488429,0.000451636
29767,TMOD2,0.040907283,0.000460545
9414,TJP2,0.115742195,0.000463509
23504,RIMBP2,-0.224770071,0.000464647
3688,ITGB1,-0.085164024,0.000473823
1476,CSTB,0.172110818,0.000475605
8577,TMEFF1,-0.193970056,0.000476255
84889,SLC7A3,-0.075682713,0.000476946
1955,MEGF9,0.089852949,0.000479097
8801,SUCLG2,0.037323944,0.000484716
5108,PCM1,0.007032613,0.000486479
254778,VXN,0.032265256,0.000486853
1000,CDH2,0.103502149,0.000487904
130612,TMEM198,-0.090495507,0.000489699
9475,ROCK2,-0.126983791,0.000503417
10397,NDRG1,-0.304026002,0.000512464
1847,DUSP5,-1.161920327,0.000519108
2717,GLA,0.034514946,0.000520305
85439,STON2,0.069926444,0.000526693
8227,AKAP17A,0.098271411,0.000530709
56171,DNAH7,0.286250531,0.000534092
5900,RALGDS,0.003070222,0.000535305
54677,CROT,-0.302964381,0.00054246
2043,EPHA4,0.049847735,0.000543747
3073,HEXA,0.030311108,0.000546603
6863,TAC1,-0.209699316,0.000548119
80303,EFHD1,-0.28488598,0.000552393
7187,TRAF3,0.123670673,0.00055512
53616,ADAM22,-0.020461385,0.000558386
9254,CACNA2D2,-0.134555508,0.000561548
23329,TBC1D30,0.053747041,0.000564947
6696,SPP1,0.805018001,0.000565087
376497,SLC27A1,0.006959567,0.000566047
7803,PTP4A1,0.098015106,0.000575781
2066,ERBB4,-0.148798542,0.000580608
79006,METRN,-0.151054483,0.000597344
11186,RASSF1,0.088752999,0.000606066
27087,B3GAT1,0.053803552,0.000608979
5727,PTCH1,-0.000818637,0.000612988
3033,HADH,-0.009611941,0.00061323
23213,SULF1,-0.169285156,0.000625717
7043,TGFB3,-0.512695339,0.000627776
54769,DIRAS2,0.024390943,0.000635029
6540,SLC6A13,0.598023576,0.00063618
4069,LYZ,-0.140527578,0.000637854
481,ATP1B1,-0.192443912,0.000639423
10253,SPRY2,-0.01713263,0.000650269
2261,FGFR3,-0.03903686,0.000652102
5050,PAFAH1B3,0.051350065,0.000657817
960,CD44,-0.231337793,0.000663112
284,ANGPT1,-0.187761753,0.000665289
6513,SLC2A1,0.20189155,0.000674021
64112,MOAP1,0.297066556,0.000687915
58499,ZNF462,-0.002780996,0.000689399
9289,ADGRG1,0.188896144,0.000707427
5817,PVR,0.023751476,0.000713425
170691,ADAMTS17,0.136483633,0.00071609
81792,ADAMTS12,1.103191714,0.000721099
9256,TSPOAP1,0.005493037,0.00072883
374887,YJEFN3,-0.155242958,0.000730106
256987,SERINC5,0.09132732,0.000735001
10856,RUVBL2,0.101365086,0.000737978
83862,TMEM120A,0.031622317,0.000742209
3479,IGF1,-0.499958377,0.000742854
2346,FOLH1,0.235810144,0.000743874
5080,PAX6,0.124965643,0.000748922
23210,JMJD6,-0.294660469,0.000754404
81544,GDPD5,-0.297519533,0.000763328
30844,EHD4,-0.261573133,0.000774012
84058,WDR54,0.264557761,0.000784361
885,CCK,0.226500554,0.000788229
29950,SERTAD1,0.004223569,0.000797193
460,ASTN1,0.034585296,0.00080473
311,ANXA11,0.305722916,0.000808285
399473,SPRED3,0.240181513,0.000810319
9781,RNF144A,0.133729122,0.000820854
4430,MYO1B,-0.184115023,0.000832245
394,ARHGAP5,0.171731424,0.000836817
23753,SDF2L1,0.420332184,0.000841413
5010,CLDN11,0.537401084,0.000842453
127833,SYT2,-0.828049579,0.000842573
357,SHROOM2,-0.03580928,0.000844145
4915,NTRK2,0.022882177,0.000855472
80206,FHOD3,-0.134138981,0.00085933
8666,EIF3G,0.14201374,0.000860263
51669,SARAF,0.260536191,0.000864431
388662,SLC6A17,-0.136397472,0.00086795
57528,KCTD16,-0.077062459,0.000868691
2794,GNL1,0.080537506,0.000869635
4851,NOTCH1,0.088061228,0.000888555
57605,PITPNM2,-0.133173333,0.000893874
5518,PPP2R1A,0.05084103,0.000925181
51068,NMD3,0.117054709,0.000927249
121512,FGD4,0.16444534,0.000939419
80148,SLC66A2,-0.071288472,0.00094058
2023,ENO1,-0.302882618,0.000945757
6262,RYR2,-0.14211449,0.0009558
5325,PLAGL1,-0.210766003,0.001000987
3956,LGALS1,-0.30213624,0.001014801
4052,LTBP1,-0.163916216,0.001014846
10493,VAT1,-0.231559777,0.001021435
84376,HOOK3,0.032506955,0.001023659
1290,COL5A2,-0.233165558,0.001031285
10516,FBLN5,-0.179722216,0.00104401
222553,SLC35F1,-0.049999718,0.001045552
10446,LRRN2,0.080697719,0.001059971
3738,KCNA3,-0.117874053,0.001061509
347252,IGFBPL1,-0.55795081,0.001073352
10162,LPCAT3,0.256607674,0.0010829
1756,DMD,0.004742804,0.001085823
79827,CLMP,-0.256877139,0.00109189
11098,PRSS23,-0.192966268,0.001091992
4985,OPRD1,0.148671893,0.001102537
3678,ITGA5,-0.00637304,0.001112919
51704,GPRC5B,0.177124057,0.00112896
64065,PERP,-0.419833229,0.001134359
10797,MTHFD2,0.236694972,0.001134836
5270,SERPINE2,-0.068219198,0.001145653
57460,PPM1H,-0.157332927,0.001145778
120,ADD3,0.269960787,0.001147277
3159,HMGA1,-0.32261094,0.001148236
84957,RELT,-0.437105118,0.001159549
140710,MTCL2,0.035693116,0.001187228
134111,UBE2QL1,-0.157091265,0.001194805
23090,ZNF423,-0.135135835,0.001198167
1040,CDS1,-0.012756918,0.001204425
80818,ZNF436,0.020893929,0.001207976
23423,TMED3,0.080685809,0.001208583
147670,SMIM17,-0.126306257,0.001213555
11244,ZHX1,0.012907262,0.001235441
1519,CTSO,0.102863689,0.001263706
651,BMP3,-0.700170928,0.001283237
2114,ETS2,-0.263180344,0.001284523
29906,ST8SIA5,-0.165112978,0.001298233
4139,MARK1,-0.030282299,0.00130142
8784,TNFRSF18,-1.129184945,0.00131196
2890,GRIA1,-0.032128945,0.001315355
9260,PDLIM7,-0.362791642,0.001321969
4240,MFGE8,0.249274858,0.001323906
26012,NSMF,-0.0236239,0.001326065
4784,NFIX,0.055844304,0.001327633
11116,CEP43,-0.019138142,0.001330507
54437,SEMA5B,-0.073776287,0.001361246
651746,ANKRD33B,-0.477841041,0.001376085
3133,HLA-E,-0.593452519,0.001402292
