GeneID,Symbol,Score,P-value
9475,ROCK2,0.347519573,0.000503417
10397,NDRG1,0.299358635,0.000512464
1847,DUSP5,0.501899877,0.000519108
2717,GLA,0.220215973,0.000520305
85439,STON2,0.155894583,0.000526693
8227,AKAP17A,0.165729373,0.000530709
56171,DNAH7,-0.258201807,0.000534092
5900,RALGDS,-0.19538079,0.000535305
54677,CROT,0.084077557,0.00054246
2043,EPHA4,-0.052925495,0.000543747
3073,HEXA,0.017038256,0.000546603
6863,TAC1,0.009329898,0.000548119
80303,EFHD1,-0.215637517,0.000552393
7187,TRAF3,0.003276718,0.00055512
53616,ADAM22,-0.059526579,0.000558386
9254,CACNA2D2,-0.180803459,0.000561548
23329,TBC1D30,-0.224876248,0.000564947
6696,SPP1,0.005160819,0.000565087
376497,SLC27A1,0.24651118,0.000566047
7803,PTP4A1,0.337486311,0.000575781
2066,ERBB4,0.029307626,0.000580608
79006,METRN,-0.258069475,0.000597344
11186,RASSF1,0.329333905,0.000606066
27087,B3GAT1,-0.098190729,0.000608979
5727,PTCH1,-0.064020007,0.000612988
3033,HADH,-0.083016495,0.00061323
23213,SULF1,0.049447219,0.000625717
7043,TGFB3,0.147338885,0.000627776
54769,DIRAS2,0.134733748,0.000635029
6540,SLC6A13,-0.248062575,0.00063618
4069,LYZ,-0.239631011,0.000637854
481,ATP1B1,0.04629523,0.000639423
10253,SPRY2,0.278386673,0.000650269
2261,FGFR3,0.084437549,0.000652102
5050,PAFAH1B3,0.138244537,0.000657817
960,CD44,0.260174734,0.000663112
284,ANGPT1,-0.049165355,0.000665289
6513,SLC2A1,0.447401869,0.000674021
64112,MOAP1,0.302005724,0.000687915
58499,ZNF462,0.081448459,0.000689399
9289,ADGRG1,-0.047178803,0.000707427
5817,PVR,0.441444472,0.000713425
170691,ADAMTS17,-0.057979553,0.00071609
81792,ADAMTS12,-0.01196835,0.000721099
9256,TSPOAP1,-0.124671589,0.00072883
374887,YJEFN3,0.105823911,0.000730106
256987,SERINC5,-0.12518301,0.000735001
10856,RUVBL2,0.140602181,0.000737978
83862,TMEM120A,0.297746262,0.000742209
3479,IGF1,0.399733143,0.000742854
2346,FOLH1,0.178128282,0.000743874
5080,PAX6,0.016359536,0.000748922
23210,JMJD6,0.273225876,0.000754404
81544,GDPD5,0.175115691,0.000763328
30844,EHD4,0.325908897,0.000774012
84058,WDR54,0.013435935,0.000784361
885,CCK,-0.119534553,0.000788229
29950,SERTAD1,0.374058926,0.000797193
460,ASTN1,-0.017821475,0.00080473
311,ANXA11,0.287268427,0.000808285
399473,SPRED3,0.395097182,0.000810319
9781,RNF144A,-0.116770938,0.000820854
4430,MYO1B,0.27391347,0.000832245
394,ARHGAP5,0.156417924,0.000836817
23753,SDF2L1,0.117337571,0.000841413
5010,CLDN11,-0.427926909,0.000842453
127833,SYT2,-0.223582382,0.000842573
357,SHROOM2,-0.185484827,0.000844145
4915,NTRK2,0.109731787,0.000855472
80206,FHOD3,0.199863218,0.00085933
8666,EIF3G,0.00028642,0.000860263
51669,SARAF,0.109336409,0.000864431
388662,SLC6A17,0.285798353,0.00086795
57528,KCTD16,0.138696391,0.000868691
2794,GNL1,0.053042647,0.000869635
4851,NOTCH1,0.069714447,0.000888555
57605,PITPNM2,-0.158940519,0.000893874
5518,PPP2R1A,-0.064868923,0.000925181
51068,NMD3,0.192079687,0.000927249
121512,FGD4,0.050020644,0.000939419
80148,SLC66A2,0.137588997,0.00094058
2023,ENO1,-0.004344675,0.000945757
6262,RYR2,0.061757306,0.0009558
5325,PLAGL1,0.305488331,0.001000987
3956,LGALS1,-0.172382251,0.001014801
4052,LTBP1,0.29862764,0.001014846
10493,VAT1,0.122130206,0.001021435
84376,HOOK3,0.147101737,0.001023659
1290,COL5A2,0.268578407,0.001031285
10516,FBLN5,0.073023259,0.00104401
222553,SLC35F1,0.015709574,0.001045552
10446,LRRN2,-0.156222671,0.001059971
3738,KCNA3,-0.061052419,0.001061509
347252,IGFBPL1,-0.124363181,0.001073352
10162,LPCAT3,-0.159437056,0.0010829
1756,DMD,-0.00265025,0.001085823
79827,CLMP,0.095651066,0.00109189
11098,PRSS23,0.196021317,0.001091992
4985,OPRD1,-0.256104002,0.001102537
3678,ITGA5,0.733137093,0.001112919
51704,GPRC5B,0.035773878,0.00112896
64065,PERP,0.17190979,0.001134359
10797,MTHFD2,0.657502372,0.001134836
5270,SERPINE2,-0.043286238,0.001145653
57460,PPM1H,0.126602398,0.001145778
120,ADD3,0.008285124,0.001147277
3159,HMGA1,0.300104987,0.001148236
84957,RELT,0.281393666,0.001159549
140710,MTCL2,0.051359937,0.001187228
134111,UBE2QL1,0.00878353,0.001194805
23090,ZNF423,-0.034805512,0.001198167
1040,CDS1,0.043772322,0.001204425
80818,ZNF436,-0.128997653,0.001207976
23423,TMED3,-0.089403629,0.001208583
147670,SMIM17,-0.435949551,0.001213555
11244,ZHX1,-0.115251079,0.001235441
1519,CTSO,0.045852472,0.001263706
651,BMP3,0.05778311,0.001283237
2114,ETS2,0.32940505,0.001284523
29906,ST8SIA5,0.137447054,0.001298233
4139,MARK1,0.1848412,0.00130142
8784,TNFRSF18,-0.382811348,0.00131196
2890,GRIA1,-0.056261115,0.001315355
9260,PDLIM7,-0.088555587,0.001321969
4240,MFGE8,-0.272937903,0.001323906
26012,NSMF,-0.117060641,0.001326065
4784,NFIX,0.058838864,0.001327633
11116,CEP43,0.1975716,0.001330507
54437,SEMA5B,-0.293570229,0.001361246
651746,ANKRD33B,0.32345834,0.001376085
3133,HLA-E,0.722327021,0.001402292
51136,RNFT1,0.312001819,0.001411662
7169,TPM2,0.01090863,0.001412277
8568,RRP1,0.030276015,0.001413456
11185,INMT,0.404131153,0.001424729
9639,ARHGEF10,-0.203899416,0.001437476
5991,RFX3,-0.144863718,0.001473755
